fiidscoreds,fcnumsolicitud,fiidplataforma_serc,fipaiscu,ficanalcu,fisucursalcu,fifoliocu,fiidflujo,fiidsegmento,fiidsegmentobaz,fiidsegmento21,fnpuntaje,fcnombreproducto,fccolor,finivelriesgo,fdregistro,fisucursal,fdfecsol,fcdescgrupo,fitipocred,fitiposol,fctipoproceso,vintage,producto_orig,flg_neta,flg_prioridad,flg_inmediato,fcempnum,fiidplataforma,fiidtiposolicitud,idpersona,ficonsecutivosol,fcdescripcion,descripcion_rechazo,descripcionsubstatus,producto,estatus_final,flg_ou,cte_unico,last_sol,pais_cu,canal_cu,sucursal_cu,folio_cu,formato_cyc,digital,fiunidadnegocio,grupo,subgrupo,m_produc,color_nr_v2,b_riesgo_nr,solicitud_alert,semana_alert,finopedido,fdfechasurt,fdcsaldocapital,b_malo14_26,b_malo14_52,b_malo2_4,b_malo4_6,b_malo8_13,b_malo8_16,first_payment_default2,second_payment_default2,semana_str,semana_num,max_fiidscoreds,plataforma,vintage_eval,flg_surtida,vintage_bis,dif,dif2,flg_baz_boost
49158126,20250713826582761986110761711781645681,1,1,1,2123,61631,15,5,,3,700,Prestamos Personales,VERDE,1,11JAN2026:00:00:00,4450,11JAN2026,,,,,2026.02,PRESTAMOS,1.0,1.0,1.0,,1.0,238.0,202507138265827619861107617117816456,1.0,Autorizada,,Autorizada sin liberar,Prestamos,Autorizada,1,1-1-2123-61631,1.0,1,1,2123,61631,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,Verde,R1,20231230172700172700733966,2026.02,135498,11JAN2026:00:00:00,27999.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,0,0,0
42768552,20241130797979792004012741254359324881,1,1,1,8757,1772964,14,6,,1,647,Prestamos Personales,VERDE,1,02DEC2024:00:00:00,4378,31DEC2025,,,,,2026.01,PRESTAMOS,1.0,1.0,0.0,351293.0,1.0,76.0,202411307979797920040127412543593248,1.0,Autorizada,,Liberada sin TAZ,Prestamos,Autorizada,1,1-1-8757-1772964,1.0,1,1,8757,1772964,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.01,2202564,02JAN2026:00:00:00,67820.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2024.49,1,2026.01,2,396,1
48986891,20251229676568772002102861144939914081,1,1,1,9305,4111111,15,1,,1,564,Prestamos Personales,VERDE,3,29DEC2025:00:00:00,4718,29DEC2025,,,,,2026.01,PRESTAMOS,1.0,1.0,0.0,1040988.0,1.0,8.0,202512296765687720021028611449399140,1.0,Autorizada,,Liberada sin TAZ,Prestamos,Autorizada,1,1-1-9305-4111111,1.0,1,1,9305,4111111,PROPIOS,0,0,Consumo,Hogar,MERCANCIA,NA,,,2026.02,822324,11JAN2026:00:00:00,3960.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.01,1,2026.02,13,13,0
48903562,20251222727390801974111742014295846281,1,1,1,9305,4098451,14,1,,1,573,Prestamos Personales,VERDE,2,22DEC2025:00:00:00,374,22DEC2025,,,,,2025.52,PRESTAMOS,1.0,1.0,0.0,1205699.0,1.0,8.0,202512227273908019741117420142958462,1.0,Autorizada,,Liberada sin TAZ,Prestamos,Autorizada,1,1-1-9305-4098451,1.0,1,1,9305,4098451,PROPIOS,1,4,Efectivo,Efectivo,CRED EFEC,NA,,,2026.01,700006527,29DEC2025:00:00:00,6600.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2025.52,1,2026.01,7,7,1
48957099,20251227836977771996060981127546682681,1,1,1,9305,4106385,15,2,,2,554,Italika,AMARILLO,1,27DEC2025:00:00:00,6109,27DEC2025,,,,,2025.52,ITALIKA,1.0,1.0,0.0,1176027.0,1.0,8.0,202512278369777719960609811275466826,1.0,Autorizada,,Liberada sin TAZ,Italika,Autorizada,1,1-1-9305-4106385,1.0,1,1,9305,4106385,PROPIOS,0,495,Consumo,Conectividad,TELEFONIA,NA,,,2026.01,207051,30DEC2025:00:00:00,4361.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2025.52,1,2026.01,3,3,0
49100255,202601067179718420070803012152946281,1,1,1,9305,4129030,15,1,,1,538,Prestamos Personales,AMARILLO,1,06JAN2026:00:00:00,7281,06JAN2026,,,,,2026.02,PRESTAMOS,1.0,1.0,0.0,1026666.0,1.0,8.0,2026010671797184200708030121529462,1.0,Autorizada,,Liberada sin TAZ,Prestamos,Autorizada,1,1-1-9305-4129030,1.0,1,1,9305,4129030,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.02,1257383,07JAN2026:00:00:00,17498.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,1,1,0
49045298,20260102776565801979092801710611449281,1,1,1,9305,4119968,15,3,,3,654,Telefonia y Computo,VERDE,1,02JAN2026:00:00:00,6619,02JAN2026,,,,,2026.01,TELEFONIA,1.0,1.0,1.0,,1.0,238.0,202601027765658019790928017106114492,1.0,Autorizada,,Autorizada sin liberar,Telefonia,Autorizada,1,1-1-9305-4119968,1.0,1,1,9305,4119968,PROPIOS,0,184,Consumo,Conectividad,TELEFONIA,NA,,,2026.01,567571,02JAN2026:00:00:00,2508.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2026.01,1,2026.01,0,0,0
49021544,2025123168697268198001118148126772681,1,1,1,9305,4116772,15,3,,3,602,Consumo / Otras Mercancias,VERDE,2,31DEC2025:00:00:00,9729,31DEC2025,,,,,2026.01,CONSUMO,1.0,1.0,1.0,,1.0,238.0,20251231686972681980011181481267726,1.0,Autorizada,,Autorizada sin liberar,Consumo,Autorizada,1,1-1-9305-4116772,1.0,1,1,9305,4116772,PROPIOS,0,0,Consumo,Hogar,MERCANCIA,NA,,,2026.01,208541,31DEC2025:00:00:00,5694.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2026.01,1,2026.01,0,0,0
48987387,2025122967657776197011068124146409981,1,1,1,9305,4111225,15,3,,3,642,Italika,VERDE,1,29DEC2025:00:00:00,5922,29DEC2025,,,,,2026.01,ITALIKA,1.0,1.0,1.0,,1.0,238.0,20251229676577761970110681241464099,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-1-9305-4111225,1.0,1,1,9305,4111225,TERCEROS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.01,2254,29DEC2025:00:00:00,24999.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2026.01,1,2026.01,0,0,0
48974394,20251228707379781999030661328762581581,1,1,1,9305,4109165,14,2,,2,523,Italika,AMARILLO,2,28DEC2025:00:00:00,4815,28DEC2025,,,,,2025.52,ITALIKA,1.0,1.0,0.0,1197215.0,1.0,8.0,202512287073797819990306613287625815,1.0,Autorizada,,Liberada sin TAZ,Italika,Autorizada,1,1-1-9305-4109165,1.0,1,1,9305,4109165,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.02,1698012,05JAN2026:00:00:00,1599.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2025.52,1,2026.02,8,8,1
49012843,20251230836584701992111761846618445681,1,1,1,9305,4115733,15,3,,3,614,Italika,VERDE,2,30DEC2025:00:00:00,920,30DEC2025,,,,,2026.01,ITALIKA,1.0,1.0,1.0,,1.0,238.0,202512308365847019921117618466184456,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-1-9305-4115733,1.0,1,1,9305,4115733,TERCEROS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.01,6358,31DEC2025:00:00:00,24999.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2026.01,1,2026.01,1,1,0
48751043,2025121167658682199703108181247285681,1,1,1,9305,4071915,15,3,,3,629,Italika,VERDE,1,11DEC2025:00:00:00,7126,11DEC2025,,,,,2025.5,ITALIKA,1.0,1.0,1.0,,1.0,238.0,20251211676586821997031081812472856,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-1-9305-4071915,1.0,1,1,9305,4071915,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.01,1230275,04JAN2026:00:00:00,33184.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2025.5,1,2026.01,24,24,0
48991766,20251229807382762007082921458609644581,1,1,1,9305,4112165,15,1,,1,538,Prestamos Personales,AMARILLO,1,29DEC2025:00:00:00,1759,29DEC2025,,,,,2026.01,PRESTAMOS,1.0,1.0,0.0,1180498.0,1.0,8.0,202512298073827620070829214586096445,1.0,Autorizada,,Liberada sin TAZ,Prestamos,Autorizada,1,1-1-9305-4112165,1.0,1,1,9305,4112165,PROPIOS,0,527,Plasticos,Tarjeta Azteca,TAZ,NA,,,2026.02,320129,09JAN2026:00:00:00,2770.65,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.01,1,2026.02,11,11,0
49122353,20260108656584691957020721110180220181,1,1,1,9305,4133622,15,3,,3,567,Italika,VERDE,3,08JAN2026:00:00:00,9994,08JAN2026,,,,,2026.02,ITALIKA,1.0,1.0,1.0,,1.0,238.0,202601086565846919570207211101802201,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-1-9305-4133622,1.0,1,1,9305,4133622,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.02,505714,08JAN2026:00:00:00,36719.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,0,0,0
49065118,20260103847965672004051941959641433081,1,1,1,9305,4122826,15,3,,3,634,Italika,VERDE,1,03JAN2026:00:00:00,4196,03JAN2026,,,,,2026.01,ITALIKA,1.0,1.0,0.0,1188466.0,1.0,8.0,202601038479656720040519419596414330,1.0,Autorizada,,Liberada sin TAZ,Italika,Autorizada,1,1-1-9305-4122826,1.0,1,1,9305,4122826,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.01,277015,04JAN2026:00:00:00,30820.0,0,0,0,0,0,0,,,202601.0,202601,,Fisico,2026.01,1,2026.01,1,1,0
49111192,20260107778565771994032441125893587481,1,1,1,9305,4131233,15,1,,1,561,Italika,VERDE,3,07JAN2026:00:00:00,2225,07JAN2026,,,,,2026.02,ITALIKA,1.0,1.0,0.0,1183370.0,1.0,8.0,202601077785657719940324411258935874,1.0,Autorizada,,Liberada sin TAZ,Italika,Autorizada,1,1-1-9305-4131233,1.0,1,1,9305,4131233,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.02,536169,07JAN2026:00:00:00,20669.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,0,0,0
49097961,20251223776967821999112901931171566181,41,1,1,1533,91078,15,4,,3,629,Prestamos Personales,VERDE,1,06JAN2026:00:00:00,8266,06JAN2026,,,,,2026.02,PRESTAMOS,1.0,1.0,1.0,,41.0,238.0,202512237769678219991129019311715661,1.0,Autorizada,,Autorizada sin liberar,Prestamos,Autorizada,1,1-1-1533-91078,1.0,1,1,1533,91078,TERCEROS,1,570,Efectivo,Efectivo,CRED EFEC,Rojo,R1,20220117205349205349406823,2026.02,700005499,07JAN2026:00:00:00,15000.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,1,1,0
49080280,20260104827377771990092002039803577481,1,1,1,5717,88289,15,3,,3,652,Prestamos Personales,VERDE,1,04JAN2026:00:00:00,5717,04JAN2026,,,,,2026.01,PRESTAMOS,1.0,1.0,1.0,,1.0,238.0,202601048273777719900920020398035774,1.0,Autorizada,,Autorizada sin liberar,Prestamos,Autorizada,1,1-1-5717-88289,1.0,1,1,5717,88289,PROPIOS,0,184,Consumo,Conectividad,TELEFONIA,NA,,,2026.02,1697749,05JAN2026:00:00:00,22159.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.01,1,2026.02,1,1,0
49095979,20260105826970891991031161944910469781,1,1,39,5606,3239,15,8,,2,593,Consumo / Otras Mercancias,VERDE,2,05JAN2026:00:00:00,9554,05JAN2026,,,,,2026.02,CONSUMO,1.0,1.0,1.0,,1.0,238.0,202601058269708919910311619449104697,1.0,Autorizada,,Autorizada sin liberar,Consumo,Autorizada,1,1-39-5606-3239,1.0,1,39,5606,3239,PROPIOS,0,0,Consumo,Hogar,MERCANCIA,NA,,,2026.02,193345,05JAN2026:00:00:00,24580.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,0,0,0
